資料日期,證券代號,證券名稱,暫停現股賣出後現款買進當沖註記
1150609,00862B,中信投資級公司債,
1150609,00863B,中信全球電信債,
1150609,00864B,中信美國公債0-1,
1150609,00867B,新光A-BBB電信債,
1150609,00870B,元大15年EM主權債,
1150609,00877,復華中國5G,
1150609,00884B,中信低碳新興債,
1150609,00886,永豐美國科技,
1150609,00887,永豐中國科技50大,
1150609,00888,永豐台灣ESG,
1150609,00890B,凱基ESG BBB債15+,
1150609,00928,中信上櫃ESG 30,
1150609,00931B,統一美債20年,
1150609,00933B,國泰10Y+金融債,
1150609,00937B,群益ESG投等債20+,
1150609,00942B,台新美A公司債20+,
1150609,00948B,中信優息投資級債,
1150609,00950B,凱基A級公司債,
1150609,00955,中信日本商社,
1150609,00957B,兆豐US優選投等債,
1150609,00958B,永豐ESG銀行債15+,
1150609,00959B,大華投等美債15Y+,
1150609,00966B,統一ESG投等債15+,
1150609,00967B,元大優息美債,
1150609,00968B,元大優息投等債,
1150609,00969B,元大零息超長美債,
1150609,00970B,新光BBB投等債20+,
1150609,009806,台新標普500,
1150609,009807,台新標普科技精選,
1150609,00980B,台新特選IG債10+,
1150609,00980D,主動聯博投等入息,
1150609,00980T,平衡凱基美國TOP,
1150609,009814,富邦標普500,
1150609,009815,大華美國MAG7+,
1150609,00981B,第一金優選非投債,
1150609,00981D,主動中信非投等債,
1150609,009822,華南永昌未來金融,
1150609,00982B,FT投資級債20+,
1150609,00983B,大華優利美公債20,
1150609,00984B,大華優利美A債15,
1150609,00985D,主動貝萊德優投等,
1150609,00986B,FT金融債10+,
1150609,00986D,主動復華金融債息,
1150609,00987B,野村10+澳洲公債,
1150609,00988B,玉山嚴選非投債,
1150609,00989B,台新美國非投等債,
1150609,00998A,主動復華金融股息,
1150609,1240,茂生農經,
1150609,1259,安心,
1150609,1264,德麥,
1150609,1268,漢來美食,
1150609,1294,漢田生技,
1150609,1295,生合,
1150609,1336,台翰,
1150609,1565,精華,
1150609,1569,濱川,
1150609,1570,力肯,
1150609,1580,新麥,
1150609,1584,精剛,
1150609,1586,和勤,
1150609,1593,祺驊,
1150609,1595,川寶,
1150609,1599,宏佳騰,
1150609,1742,台蠟,
1150609,1777,生泰,
1150609,1781,合世,
1150609,1784,訊聯,
1150609,1785,光洋科,
1150609,1788,杏昌,
1150609,1796,金穎生技,
1150609,1813,寶利徠,
1150609,1815,富喬,
1150609,2063,世鎧,
1150609,2064,晉椿,
1150609,2065,世豐,
1150609,2066,世德,
1150609,2070,精湛,
1150609,2221,大甲,
1150609,2230,泰茂,
1150609,2235,謚源,
1150609,2596,綠意,
1150609,2640,大車隊,
1150609,2641,正德,
1150609,2643,捷迅,
1150609,2718,全心投控,
1150609,2719,燦星旅,
1150609,2729,瓦城,
1150609,2732,六角,
1150609,2734,易飛網,
1150609,2736,富野,
1150609,2743,山富,
1150609,2745,五福,
1150609,2751,王座,
1150609,2754,亞洲藏壽司,
1150609,2755,揚秦,
1150609,2756,聯發國際,
1150609,2916,滿心,
1150609,2926,誠品生活,
1150609,3066,李洲,
1150609,3071,協禧,
1150609,3073,天方能源,
1150609,3078,僑威,
1150609,3081,聯亞,
1150609,3083,網龍,
1150609,3086,華義*,
1150609,3088,艾訊,
1150609,3093,港建*,
1150609,3095,及成,
1150609,3105,穩懋,＊
1150609,3118,進階,＊
