"Layer","Category","Decision","Risk","Action","Path","Bytes","Size","FileCount","Reason"
"LargeFile",".html","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_PACKAGE_FREEZE_20260602_150557\ARCHIVE\module\VRN\temp\_validation_runs\RUN_20260527_091654_VRN_V141D6_EXTRACTED_DATA_FULL_VALIDATION\VRN_v141D6_Extracted_Data_Full_Validation.html","204074444","194.62 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".html","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_20260602_052456\ARCHIVE\module\VRN\temp\_validation_runs\RUN_20260527_091654_VRN_V141D6_EXTRACTED_DATA_FULL_VALIDATION\VRN_v141D6_Extracted_Data_Full_Validation.html","204074444","194.62 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VDF\_global_flow_v6_runs\VIA_GLOBAL_FLOW_V6_20260502_001127\output\rolling_beta.csv","197731618","188.57 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_054737\ARCHIVE\module\VDF\_global_flow_v6_runs\VIA_GLOBAL_FLOW_V6_20260502_001127\output\rolling_beta.csv","197731618","188.57 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_061318\ARCHIVE\module\VDF\_global_flow_v6_runs\VIA_GLOBAL_FLOW_V6_20260502_001127\output\rolling_beta.csv","197731618","188.57 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_091358\ARCHIVE\module\VDF\_global_flow_v6_runs\VIA_GLOBAL_FLOW_V6_20260502_001127\output\rolling_beta.csv","197731618","188.57 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_055208\ARCHIVE\module\VDF\_global_flow_v6_runs\VIA_GLOBAL_FLOW_V6_20260502_001127\output\rolling_beta.csv","197731618","188.57 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_20260602_052456\ARCHIVE\module\VDF\_global_flow_v6_runs\VIA_GLOBAL_FLOW_V6_20260502_001127\output\rolling_beta.csv","197731618","188.57 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".pyd","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\_envs\via_operation_optimizer_2026\Lib\site-packages\_polars_runtime_32\_polars_runtime.pyd","183019520","174.54 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".parquet","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\桌面\tw_stock_output\ta_analysis\technical_analysis\technical_analysis_20250117_205033.parquet","182867396","174.40 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
